date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:55:57	9545/9545	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Apr%202021%2000:00:46%20GMT	http://app1.helwan.edu.eg/Education/TermCsrch.asp	C:/My%20Web%20Sites/helwanedu/app1.helwan.edu.eg/Education/TermCsrch.html	(from http://app1.helwan.edu.eg/Education/TermAsrch.asp)
16:55:57	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2016%20Apr%202021%2000:00:46%20GMT	http://app1.helwan.edu.eg/Education/ban.jpg	C:/My%20Web%20Sites/helwanedu/app1.helwan.edu.eg/Education/ban.a.delayed	(from http://app1.helwan.edu.eg/Education/HelNat.css)
16:55:58	16350/16350	---M-Z	200	added ('OK')	text/css	etag:%2206814832954d11:0%22	http://app1.helwan.edu.eg/Education/Slider/sliderengine/amazingslider-1.css	C:/My%20Web%20Sites/helwanedu/app1.helwan.edu.eg/Education/Slider/sliderengine/amazingslider-1.css	(from http://app1.helwan.edu.eg/Education/Slider/Std.html)
16:55:59	11941/11941	---M-Z	200	added ('OK')	application/javascript	etag:%220e45f87eebed51:0%22	http://app1.helwan.edu.eg/Education/Slider/sliderengine/initslider-1.js	C:/My%20Web%20Sites/helwanedu/app1.helwan.edu.eg/Education/Slider/sliderengine/initslider-1.js	(from http://app1.helwan.edu.eg/Education/Slider/Std.html)
16:56:00	95957/95957	---M-Z	200	added ('OK')	application/javascript	etag:%220368961df5d01:0%22	http://app1.helwan.edu.eg/Education/Slider/sliderengine/jquery.js	C:/My%20Web%20Sites/helwanedu/app1.helwan.edu.eg/Education/Slider/sliderengine/jquery.js	(from http://app1.helwan.edu.eg/Education/Slider/Std.html)
16:56:07	255964/255964	---M-Z	200	added ('OK')	application/javascript	etag:%220e45f87eebed51:0%22	http://app1.helwan.edu.eg/Education/Slider/sliderengine/amazingslider.js	C:/My%20Web%20Sites/helwanedu/app1.helwan.edu.eg/Education/Slider/sliderengine/amazingslider.js	(from http://app1.helwan.edu.eg/Education/Slider/Std.html)
16:56:16	111477/111477	---M--	200	added ('OK')	image/jpeg	etag:%220e45f87eebed51:0%22	http://app1.helwan.edu.eg/Education/Slider/SldImage/Start.JPG	C:/My%20Web%20Sites/helwanedu/app1.helwan.edu.eg/Education/Slider/SldImage/Start.jpg	(from http://app1.helwan.edu.eg/Education/Slider/Std.html)
16:56:24	158668/158668	---M--	200	added ('OK')	image/jpeg	etag:%220e45f87eebed51:0%22	http://app1.helwan.edu.eg/Education/Slider/SldImage/001.JPG	C:/My%20Web%20Sites/helwanedu/app1.helwan.edu.eg/Education/Slider/SldImage/001.jpg	(from http://app1.helwan.edu.eg/Education/Slider/Std.html)
16:56:28	173615/173615	---M--	200	added ('OK')	image/jpeg	etag:%220e45f87eebed51:0%22	http://app1.helwan.edu.eg/Education/Slider/SldImage/002.JPG	C:/My%20Web%20Sites/helwanedu/app1.helwan.edu.eg/Education/Slider/SldImage/002.jpg	(from http://app1.helwan.edu.eg/Education/Slider/Std.html)
16:56:32	150217/150217	---M--	200	added ('OK')	image/jpeg	etag:%220e45f87eebed51:0%22	http://app1.helwan.edu.eg/Education/Slider/SldImage/003.JPG	C:/My%20Web%20Sites/helwanedu/app1.helwan.edu.eg/Education/Slider/SldImage/003.jpg	(from http://app1.helwan.edu.eg/Education/Slider/Std.html)
16:56:34	10863/10863	---M--	200	added ('OK')	image/jpeg	etag:%220e45f87eebed51:0%22	http://app1.helwan.edu.eg/Education/Slider/SldImage/Start-tn.JPG	C:/My%20Web%20Sites/helwanedu/app1.helwan.edu.eg/Education/Slider/SldImage/Start-tn.jpg	(from http://app1.helwan.edu.eg/Education/Slider/Std.html)
16:56:36	15379/15379	---M--	200	added ('OK')	image/jpeg	etag:%220e45f87eebed51:0%22	http://app1.helwan.edu.eg/Education/Slider/SldImage/001-tn.JPG	C:/My%20Web%20Sites/helwanedu/app1.helwan.edu.eg/Education/Slider/SldImage/001-tn.jpg	(from http://app1.helwan.edu.eg/Education/Slider/Std.html)
16:56:39	16882/16882	---M--	200	added ('OK')	image/jpeg	etag:%220e45f87eebed51:0%22	http://app1.helwan.edu.eg/Education/Slider/SldImage/002-tn.JPG	C:/My%20Web%20Sites/helwanedu/app1.helwan.edu.eg/Education/Slider/SldImage/002-tn.jpg	(from http://app1.helwan.edu.eg/Education/Slider/Std.html)
16:56:42	15621/15621	---M--	200	added ('OK')	image/jpeg	etag:%220e45f87eebed51:0%22	http://app1.helwan.edu.eg/Education/Slider/SldImage/003-tn.JPG	C:/My%20Web%20Sites/helwanedu/app1.helwan.edu.eg/Education/Slider/SldImage/003-tn.jpg	(from http://app1.helwan.edu.eg/Education/Slider/Std.html)
16:56:44	174824/174824	---M--	200	added ('OK')	image/jpeg	etag:%220e45f87eebed51:0%22	http://app1.helwan.edu.eg/Education/Slider/SldImage/004.JPG	C:/My%20Web%20Sites/helwanedu/app1.helwan.edu.eg/Education/Slider/SldImage/004.jpg	(from http://app1.helwan.edu.eg/Education/Slider/Std.html)
16:56:45	16604/16604	---M--	200	added ('OK')	image/jpeg	etag:%220e45f87eebed51:0%22	http://app1.helwan.edu.eg/Education/Slider/SldImage/004-tn.JPG	C:/My%20Web%20Sites/helwanedu/app1.helwan.edu.eg/Education/Slider/SldImage/004-tn.jpg	(from http://app1.helwan.edu.eg/Education/Slider/Std.html)
16:56:47	16358/16358	---M--	200	added ('OK')	image/jpeg	etag:%220e45f87eebed51:0%22	http://app1.helwan.edu.eg/Education/Slider/SldImage/005-tn.JPG	C:/My%20Web%20Sites/helwanedu/app1.helwan.edu.eg/Education/Slider/SldImage/005-tn.jpg	(from http://app1.helwan.edu.eg/Education/Slider/Std.html)
16:56:48	15590/15590	---M--	200	added ('OK')	image/jpeg	etag:%220e45f87eebed51:0%22	http://app1.helwan.edu.eg/Education/Slider/SldImage/006-tn.JPG	C:/My%20Web%20Sites/helwanedu/app1.helwan.edu.eg/Education/Slider/SldImage/006-tn.jpg	(from http://app1.helwan.edu.eg/Education/Slider/Std.html)
16:56:49	161084/161084	---M--	200	added ('OK')	image/jpeg	etag:%220e45f87eebed51:0%22	http://app1.helwan.edu.eg/Education/Slider/SldImage/005.JPG	C:/My%20Web%20Sites/helwanedu/app1.helwan.edu.eg/Education/Slider/SldImage/005.jpg	(from http://app1.helwan.edu.eg/Education/Slider/Std.html)
16:56:50	161727/161727	---M--	200	added ('OK')	image/jpeg	etag:%220e45f87eebed51:0%22	http://app1.helwan.edu.eg/Education/Slider/SldImage/006.JPG	C:/My%20Web%20Sites/helwanedu/app1.helwan.edu.eg/Education/Slider/SldImage/006.jpg	(from http://app1.helwan.edu.eg/Education/Slider/Std.html)
